     3>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.lab\bitset\bitset.cpp(74,1): warning C4715: BitSet::Get: значение возвращается не при всех путях выполнения [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.lab\bitset\bitset.vcxproj]
    29>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.lab\queuelstr\queuelstr.cpp(26,1): warning C4715: QueueLstR::Top: значение возвращается не при всех путях выполнения [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.lab\queuelstr\queuelstr.vcxproj]
    30>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805: ==: небезопасное смешение типа "T" и типа "T" в операции [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         with [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         [ [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:             T=bool [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         ] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         and [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         [ [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:             T=int [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\doctest.h(1527,9): warning C4805:         ] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_bitset.vcxproj]
    10>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(58,11): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    10>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(116,12): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    10>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(122,11): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    10>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(129,11): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    10>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(140,11): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    32>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_queuearr.cpp(37,7): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_queuearr.vcxproj]
    32>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_queuearr.cpp(54,7): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_queuearr.vcxproj]
    32>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_queuearr.cpp(81,3): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_queuearr.vcxproj]
    32>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_queuearr.cpp(96,5): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_queuearr.vcxproj]
    34>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_stackarr.cpp(70,3): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_stackarr.vcxproj]
    35>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.test\test_stacklst.cpp(72,5): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.test\test_stacklst.vcxproj]
    11>D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\prj.check\prj.check\doctest_t.hpp(71,13): warning C4834: удаление возвращаемого значения функции с атрибутом [[nodiscard]] [D:\.dima\misis2023f-23-check\misis2024s-23-03-silaev-v-v\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr_m.vcxproj]
